AMA Computer Learning Center,J & A Tan Bldg,J & A Tan Building,11.577073,122.755241
Amado Lim Enterprises Inc.,"Roxas Avenue, Roxas City, Capiz",Amado Lim Building,11.577173,122.75278
Avon Philippines,Fuentes Drive Roxas City,Henrich Building,11.580374,122.756555
Bank of the Philippine Islands,Gaisano Arcade Commercial Complex,Gaisano Arcade Commercial Complex,11.588997,122.752383
Bench,Robinsons Mall Roxas,Robinsons Mall,11.568752,122.751588
COCOLIFE,Hernandez Building,Hernandez Building,11.578648,122.753067
College Assurance Plan,CAP Building,CAP Building,11.577762,122.75404
Department of Agrarian Reform,Amado Lim Building,Amado Lim Building,11.577173,122.75278
Development Bank of the Philippines,"1st Flr. Capiz Provincial Business Center, Fuentes Drive, Roxas City ",Capiz Provincial Business Center,11.577478,122.75678
DXN Philippines,"Legaspi Ilawood Street, Roxas City, Capiz",Celino Building,11.582507,122.757879
"Fortune Life Insurance Company, Incorporated","3/F Room 301 Daliva Building, Mckinley Street, Roxas City",Daliva Building,11.582295,122.754329
Handyman Do It Best Home Center,"2nd Level Gaisano Mall, Arnoldo Boulevard, Roxas City",Gaisano - Roxas,11.589631,122.751485
Himlayang Pilipino Inc,"San Roque Extension, Roxas City, Capiz",Elemar Building,11.583125,122.756499
Injap Supermart,"Burgos Street, Roxas City, Capiz",Injap Building,11.584791,122.753358
Insular Life,"Roxas Avenue, corner Bayot Drive, Roxas City, Capiz",Bocala Building,11.580461,122.752902
JRS Express,"G/F Fuentes Bldg., Fuentes Drive, Roxas City",Fuentes Building,11.577486,122.755095
Landbank,"Acevedo Bldg., P. Gomez Street, Roxas City",Acevedo Building,11.583388,122.751808
LBC - Hari ng Padala,"#2 Bernas Building, Roxas Avenue, Roxas City",Bernas Building,11.576851,122.753051
"Mail and More Business Services, Inc.","Door #1 Arches Building, Arnaldo Boulevard, Roxas City, Capiz",Arches Building,11.591833,122.751592
"MAPECON PHILS., INC.","2nd Floor- Alcazar Bldg., Roxas Ave., Ext., (Km 1), Roxas City",Alcazar Building,11.574649,122.753894
Pacifica Agrivet Supplies Inc.,"Door #8 Yap Building, Plaridel Street, Roxas City",Yap Building,11.578338,122.753695
Paramount Life & General Insurance Corporation,"3rd Floor, F.C. Daliva Building, McKinley Street, Roxas City",Daliva Building,11.581664,122.757418
Penshoppe,"G/F Robinsons Mall, Pueblo de Panay, Roxas City",Robinsons Mall Roxas,11.568752,122.751588
Philam Life,"2/F FCD Building, Mckinley Street, Roxas City",FCD Building,11.581628,122.757573
Philippine Coconut Authority,"2nd Floor, N & E Tan Building, Roxas Avenue, Roxas City",N & E Tan Building,11.578879,122.752816
Servio Small Business,"Spring Valley Genesis Building, Pueblo de Panay, Roxas City, Capiz",Spring Valley Genesis Building,11.563586,122.748218
St. Claire Animal Clinic,Fuentes Drive Roxas City,J & A Tan Building,11.577073,122.755241
"Suzuki 3S Shop - Solid Motorcycle Distributors, Inc.","1031 Victoria Building, Roxas Avenue, Roxas City",Victoria Building,11.581764,122.752934
The Balloon Guys Party Center,"Door 9, San Roque Extention, Roxas City",Elemar Business Center,11.583125,122.756499
Unitop International Group Incorporated,"Christine Building, Roxas Avenue, Roxas City",Christine Building,11.580377,122.753443
Avescor Motors Incorporated,"Burgos Street, Roxas City, 5800 Capiz",Avescor Motors Incorporated,11.5691827,122.7498703
BAIA NORTE BEACH CLUB,"Barangay Baybay, Roxas City",BAIA NORTE BEACH CLUB,11.6066531,122.7378597
Banco De Oro - Roxas City,"Roxas Avenue, Roxas City",Banco De Oro - Roxas City,11.5789773,122.744126
B-Y & Sons Trading,"Roxas Avenue, Roxas City",B-Y & Sons Trading,11.5792896,122.7506859
Casa Purita Hotel,"Plaridel Street, Roxas City",Casa Purita Hotel,11.578473,122.7516393
"Cebuana Lhuillier Pawnshop - Roxas City, Capiz (Roxas 4 Branch)","Legaspi Street cor San Roque Extension, Brgy. 3, Roxas City","Cebuana Lhuillier Pawnshop - Roxas City, Capiz (Roxas 4 Branch)",11.5811384,122.746729
Chinabank - Roxas City,"1063 Roxas Avenue corner Bayot Drive, Roxas City",Chinabank - Roxas City,11.5789774,122.7506921
Citi Hardware - Roxas Branch,"Barangay Lawaan, Roxas City",Citi Hardware - Roxas Branch,11.5563788,122.7555584
City Mall Arnaldo Blvd.,"Arnaldo Boulevard, Roxas City",City Mall Arnaldo Blvd.,11.5842929,122.7467092
City Mall Roxas Avenue,Roxas Avenue,City Mall Roxas Avenue,11.5769548,122.7504704
Dafort's Sisig On The Plate,"Roxas Avenue, Roxas City",Dafort's Sisig On The Plate,11.574239,122.7557683
DC Cafe,"Brgy. Banica, Roxas City",DC Cafe,11.5835664,122.7633274
Eastwest Unibank - Roxas Branch,"Roxas Avenue, Roxas City",Eastwest Unibank - Roxas Branch,11.580701,122.7521303
FARMERS BANK OF CAPIZ,"Bagong Lipunan, Roxas City",FARMERS BANK OF CAPIZ,11.5682709,122.7516617
Filamer Christian College,"Roxas Avenue, Roxas City",Filamer Christian College,11.5754577,122.7496488
Gerry Roxas Foundation - Capiz Office,"Dayao, Roxas City",Gerry Roxas Foundation,11.585938,122.7260047
Halaran Plaza Hotel,"P. Gomez Corner, Washington Street, Roxas City",Halaran Plaza Hotel,11.5826928,122.749705
Immanuel Christian Assembly Church (ICAC),Roxas City,Immanuel Christian Assembly Church (ICAC),11.5793227,122.7436889
Julieta's Apartelle Hotel,"Arnaldo Boulevard, Roxas City",Julieta's Apartelle Hotel,11.5924711,122.7489898
KAPIS ATBP INC.,"Banica, Roxas City",KAPIS ATBP INC.,11.5811354,122.7695813
Lifeline International Health Institute,"2nd & 3rd JYT Corp., Altavas St. Roxas City",Lifeline International Health Institute,11.580701,122.7521303
M V W Restaurant Tourist Inn,"Roxas Avenue, Roxas City",M V W Restaurant Tourist Inn,11.5777496,122.755382
Mardebb Giveaways Shoppe,"Legazpi Street, Roxas City",Mardebb Giveaways Shoppe,11.5831355,122.7587784
Maybank - Roxas City,"1068 Roxas Avenue, Roxas City",Maybank - Roxas City,11.5775169,122.7530611
Metrobank - Roxas City,"Roxas Avenue, Roxas City",Metrobank - Roxas City,11.5674925,122.7370056
Nesta's Hilltop Hotel,"Provincial Park, Roxas City",Nesta's Hilltop Hotel,11.5777496,122.755382
New City Lodge,"San Roque, Roxas City",New City Lodge,11.5892019,122.7437742
Nitro Cafe,"Sacred Heart of Jesus Avenue, Roxas City",Nitro Cafe,11.5644726,122.7485885
Panorama Hotel And Restaurant,"Barra, Roxas City",Panorama Hotel And Restaurant,11.5676556,122.7364031
Philippine National Bank - Roxas ,"Corner C.M. Recto and M. H. del Pilar Streets, Roxas City",Philippine National Bank - Roxas ,11.5832918,122.7518742
Philpost - Roxas City Post Office,"Bilbao Corner Bangbang, Roxas City",Philpost - Roxas City Post Office,11.5633325,122.7391574
PPC Asia - Pete's stop tire & car care center,"Km-2 homesite, Brgy. Lawa-an, Roxas City",PPC Asia - Pete's stop tire & car care center,11.5630451,122.7549008
PureGold,"Legaspi Street, Roxas City",PureGold,11.5839741,122.7526263
RA Arcenas Construction,"P. Gomez Street, Roxas City",RA Arcenas Construction,11.5839453,122.7412753
RCL Direct Marketing Inc.,"Barangay Lawaan, Roxas City",RCL Direct Marketing Inc.,11.5676561,122.751724
Rizal Commercial Banking Corporation (RCBC),"Plaridel Street (TATC), Roxas City",Rizal Commercial Banking Corporation (RCBC),11.5796372,122.753212
Roxas City Hall,Arzobispo St. Roxas City,Roxas City Hall,11.5834805,122.7504427
